model;mean_fit_time;std_fit_time;mean_score_time;std_score_time;param_alpha;param_l1_ratio;param_max_iter;split0_test_score;split1_test_score;split2_test_score;split3_test_score;split4_test_score;split5_test_score;split6_test_score;split7_test_score;split8_test_score;split9_test_score;split10_test_score;split11_test_score;split12_test_score;split13_test_score;split14_test_score;split15_test_score;split16_test_score;split17_test_score;split18_test_score;split19_test_score;split20_test_score;split21_test_score;split22_test_score;split23_test_score;split24_test_score;split25_test_score;split26_test_score;split27_test_score;split28_test_score;split29_test_score;split30_test_score;split31_test_score;split32_test_score;split33_test_score;split34_test_score;split35_test_score;split36_test_score;split37_test_score;split38_test_score;split39_test_score;split40_test_score;split41_test_score;split42_test_score;split43_test_score;split44_test_score;split45_test_score;split46_test_score;split47_test_score;split48_test_score;split49_test_score;split50_test_score;split51_test_score;split52_test_score;split53_test_score;split54_test_score;split55_test_score;split56_test_score;split57_test_score;split58_test_score;split59_test_score;split60_test_score;split61_test_score;split62_test_score;split63_test_score;split64_test_score;split65_test_score;split66_test_score;split67_test_score;split68_test_score;split69_test_score;split70_test_score;split71_test_score;split72_test_score;split73_test_score;split74_test_score;split75_test_score;split76_test_score;split77_test_score;split78_test_score;split79_test_score;split80_test_score;split81_test_score;split82_test_score;split83_test_score;split84_test_score;split85_test_score;split86_test_score;split87_test_score;split88_test_score;split89_test_score;split90_test_score;split91_test_score;split92_test_score;split93_test_score;split94_test_score;split95_test_score;split96_test_score;split97_test_score;split98_test_score;split99_test_score;mean_test_score;std_test_score;rank_test_score
alpha:0.1_l1_ratio:0_max_iter:100000;0.2329451012611389;0.052102405907692564;0.0005111265182495118;0.00017421536582185813;0.1;0;100000;-73.54319962239946;-1.8831119440053947;-29.540601608086085;-63.79367949609371;-190.7876868397416;-1.0721716310693896;-0.8234550728765666;-147.88881088118842;-68.55531682361168;-96.66555981987533;-102.65385680999086;-6.622158833602654;-95.16895184136845;-1.0721716310693896;-96.66555981987533;-190.7876868397416;-129.81756936056738;-63.79367949609371;-3.2605880695761043;-19.971097395627996;-44.324920792541555;-109.52498094536662;-58.87945590370986;-68.55531682361168;-56.14014978417041;-147.88881088118842;-0.8234550728765666;-4.126910806994852;-1.0721716310693896;-19.971097395627996;-36.75672181361466;-34.83245548402345;-70.55397062253331;-1.0721716310693896;-63.79367949609371;-147.88881088118842;-190.7876868397416;-56.14014978417041;-96.66555981987533;-0.8234550728765666;-44.76481115119914;-34.239001394577635;-83.2378153060056;-1.0721716310693896;-147.88881088118842;-3.2605880695761043;-96.66555981987533;-33.73846568898485;-0.8234550728765666;-190.7876868397416;-100.97602065402322;-58.87945590370986;-117.21074480280102;-190.7876868397416;-56.14014978417041;-63.79367949609371;-19.971097395627996;-3.2605880695761043;-1.0721716310693896;-4.126910806994852;-51.06784137437856;-96.60592033577923;-104.71496679684574;-19.971097395627996;-3.2605880695761043;-4.126910806994852;-68.55531682361168;-0.8234550728765666;-147.88881088118842;-56.14014978417041;-34.83245548402345;-39.255465174667265;-96.49586699409981;-68.55531682361168;-56.14014978417041;-190.7876868397416;-0.8234550728765666;-96.66555981987533;-19.971097395627996;-4.126910806994852;-86.08157279241581;-11.739321684417732;-120.21740893237906;-4.126910806994852;-33.73846568898485;-63.79367949609371;-56.14014978417041;-68.55531682361168;-147.88881088118842;-0.8234550728765666;-27.43544771826469;-1.8831119440053947;-117.21074480280102;-56.14014978417041;-33.73846568898485;-96.66555981987533;-1.0721716310693896;-68.55531682361168;-190.7876868397416;-147.88881088118842;-63.42977295991293;56.08081033885396;1
alpha:0.1_l1_ratio:0_max_iter:1000;0.0024137115478515625;0.0005230491470245096;0.00043223857879638673;0.00011018400463543298;0.1;0;1000;-73.54319962240585;-1.883111944007033;-29.540601608063497;-63.79367949609442;-190.7876868397893;-1.0721716310704932;-0.8234550728765956;-147.88881088118904;-68.55531682361651;-96.66555981987347;-102.65385680993671;-6.622158833602713;-95.16895184137397;-1.0721716310704932;-96.66555981987347;-190.7876868397893;-129.81756936054776;-63.79367949609442;-3.260588069583507;-19.971097395626153;-44.32492079260734;-109.52498094536566;-58.8794559037138;-68.55531682361651;-56.140149784182874;-147.88881088118904;-0.8234550728765956;-4.126910806995545;-1.0721716310704932;-19.971097395626153;-36.75672181363395;-34.83245548402496;-70.5539706225596;-1.0721716310704932;-63.79367949609442;-147.88881088118904;-190.7876868397893;-56.140149784182874;-96.66555981987347;-0.8234550728765956;-44.764811151198074;-34.23900139458995;-83.2378153060065;-1.0721716310704932;-147.88881088118904;-3.260588069583507;-96.66555981987347;-33.738465688986395;-0.8234550728765956;-190.7876868397893;-100.97602065402882;-58.8794559037138;-117.2107448028093;-190.7876868397893;-56.140149784182874;-63.79367949609442;-19.971097395626153;-3.260588069583507;-1.0721716310704932;-4.126910806995545;-51.06784137432798;-96.6059203357531;-104.7149667968408;-19.971097395626153;-3.260588069583507;-4.126910806995545;-68.55531682361651;-0.8234550728765956;-147.88881088118904;-56.140149784182874;-34.83245548402496;-39.25546517465845;-96.49586699410925;-68.55531682361651;-56.140149784182874;-190.7876868397893;-0.8234550728765956;-96.66555981987347;-19.971097395626153;-4.126910806995545;-86.08157279242556;-11.739321684409724;-120.21740893237984;-4.126910806995545;-33.738465688986395;-63.79367949609442;-56.140149784182874;-68.55531682361651;-147.88881088118904;-0.8234550728765956;-27.43544771824944;-1.883111944007033;-117.2107448028093;-56.140149784182874;-33.738465688986395;-96.66555981987347;-1.0721716310704932;-68.55531682361651;-190.7876868397893;-147.88881088118904;-63.429772959917564;56.080810338860644;2
alpha:0.1_l1_ratio:0_max_iter:10000;0.02818646192550659;0.011493015638591496;0.0006250500679016113;0.0005693491612921114;0.1;0;10000;-73.54319962240353;-1.883111944007131;-29.54060160806836;-63.793679496106336;-190.78768683978726;-1.0721716310712914;-0.8234550728768149;-147.88881088119155;-68.55531682361747;-96.66555981987445;-102.65385680992715;-6.6221588336029065;-95.16895184137707;-1.0721716310712914;-96.66555981987445;-190.78768683978726;-129.8175693605481;-63.793679496106336;-3.260588069583905;-19.971097395627456;-44.32492079260067;-109.52498094536388;-58.87945590371626;-68.55531682361747;-56.14014978418146;-147.88881088119155;-0.8234550728768149;-4.126910806995721;-1.0721716310712914;-19.971097395627456;-36.75672181363497;-34.83245548402461;-70.55397062255814;-1.0721716310712914;-63.793679496106336;-147.88881088119155;-190.78768683978726;-56.14014978418146;-96.66555981987445;-0.8234550728768149;-44.76481115119681;-34.23900139458738;-83.2378153060031;-1.0721716310712914;-147.88881088119155;-3.260588069583905;-96.66555981987445;-33.73846568898949;-0.8234550728768149;-190.78768683978726;-100.97602065402987;-58.87945590371626;-117.21074480281246;-190.78768683978726;-56.14014978418146;-63.793679496106336;-19.971097395627456;-3.260588069583905;-1.0721716310712914;-4.126910806995721;-51.067841374330634;-96.60592033575594;-104.71496679683742;-19.971097395627456;-3.260588069583905;-4.126910806995721;-68.55531682361747;-0.8234550728768149;-147.88881088119155;-56.14014978418146;-34.83245548402461;-39.2554651746614;-96.49586699410915;-68.55531682361747;-56.14014978418146;-190.78768683978726;-0.8234550728768149;-96.66555981987445;-19.971097395627456;-4.126910806995721;-86.08157279242025;-11.739321684411706;-120.21740893239345;-4.126910806995721;-33.73846568898949;-63.793679496106336;-56.14014978418146;-68.55531682361747;-147.88881088119155;-0.8234550728768149;-27.435447718250572;-1.883111944007131;-117.21074480281246;-56.14014978418146;-33.73846568898949;-96.66555981987445;-1.0721716310712914;-68.55531682361747;-190.78768683978726;-147.88881088119155;-63.429772959918544;56.08081033886048;3
alpha:0.1_l1_ratio:0_max_iter:100;0.0009142994880676269;0.0001896609093361941;0.00035401821136474607;7.348562662226049e-05;0.1;0;100;-73.55166506642708;-1.888304171934042;-29.537157647917834;-63.85814710752359;-190.80664035506646;-1.0717414019609062;-0.8314660522677977;-147.91074421775804;-68.55363584036485;-97.44164681834425;-102.6504170407054;-6.6191335218083855;-95.17487779839931;-1.0717414019609062;-97.44164681834425;-190.80664035506646;-129.83422209221456;-63.85814710752359;-3.2625961398879;-19.978214926294925;-44.42454189917389;-109.53213445357794;-59.42896148182376;-68.55363584036485;-56.14519507744105;-147.91074421775804;-0.8314660522677977;-4.128554519152071;-1.0717414019609062;-19.978214926294925;-36.75572847849193;-34.79155896462922;-70.55983417028953;-1.0717414019609062;-63.85814710752359;-147.91074421775804;-190.80664035506646;-56.14519507744105;-97.44164681834425;-0.8314660522677977;-44.775727920577744;-34.23985644802153;-83.23740295294435;-1.0717414019609062;-147.91074421775804;-3.2625961398879;-97.44164681834425;-33.72359327729751;-0.8314660522677977;-190.80664035506646;-100.97491955709047;-59.42896148182376;-117.211834500579;-190.80664035506646;-56.14519507744105;-63.85814710752359;-19.978214926294925;-3.2625961398879;-1.0717414019609062;-4.128554519152071;-51.10227236036703;-96.74254548364709;-104.73305361835448;-19.978214926294925;-3.2625961398879;-4.128554519152071;-68.55363584036485;-0.8314660522677977;-147.91074421775804;-56.14519507744105;-34.79155896462922;-39.339963708605346;-96.50538183387377;-68.55363584036485;-56.14519507744105;-190.80664035506646;-0.8314660522677977;-97.44164681834425;-19.978214926294925;-4.128554519152071;-86.28903956600621;-11.71912123389257;-120.20595313326044;-4.128554519152071;-33.72359327729751;-63.85814710752359;-56.14519507744105;-68.55363584036485;-147.91074421775804;-0.8314660522677977;-27.435990643201826;-1.888304171934042;-117.211834500579;-56.14519507744105;-33.72359327729751;-97.44164681834425;-1.0717414019609062;-68.55363584036485;-190.80664035506646;-147.91074421775804;-63.49960211706794;56.11407512687467;4
alpha:0.1_l1_ratio:0.1_max_iter:1000;0.0012970995903015137;0.0029769685684314247;0.00042029857635498044;0.0005153923128115796;0.1;0.1;1000;-73.52947319542932;-1.7626808777161005;-30.793396691850916;-68.99965972644848;-188.1549869522955;-1.134717334286718;-0.6977414084649245;-158.04872895662677;-72.27338505599953;-98.24620421027345;-105.12471791762209;-6.530411544554715;-99.44941471656304;-1.134717334286718;-98.24620421027345;-188.1549869522955;-132.43175299509454;-68.99965972644848;-2.973667397127098;-22.13218004364069;-46.850411737125555;-109.47171154167324;-58.87059149916894;-72.27338505599953;-56.77068135231707;-158.04872895662677;-0.6977414084649245;-3.911618900302617;-1.134717334286718;-22.13218004364069;-38.54983677193018;-35.38860502163824;-70.45109990770348;-1.134717334286718;-68.99965972644848;-158.04872895662677;-188.1549869522955;-56.77068135231707;-98.24620421027345;-0.6977414084649245;-46.755837029360634;-36.165066066629976;-83.78523386521927;-1.134717334286718;-158.04872895662677;-2.973667397127098;-98.24620421027345;-33.723292983550124;-0.6977414084649245;-188.1549869522955;-105.59626243997621;-58.87059149916894;-122.33689592817862;-188.1549869522955;-56.77068135231707;-68.99965972644848;-22.13218004364069;-2.973667397127098;-1.134717334286718;-3.911618900302617;-53.30718573296385;-97.11191128045091;-108.4988398336068;-22.13218004364069;-2.973667397127098;-3.911618900302617;-72.27338505599953;-0.6977414084649245;-158.04872895662677;-56.77068135231707;-35.38860502163824;-43.79487901400479;-97.14156421486715;-72.27338505599953;-56.77068135231707;-188.1549869522955;-0.6977414084649245;-98.24620421027345;-22.13218004364069;-3.911618900302617;-86.96764185853797;-13.200902391153539;-120.54819166795961;-3.911618900302617;-33.723292983550124;-68.99965972644848;-56.77068135231707;-72.27338505599953;-158.04872895662677;-0.6977414084649245;-29.486576777908375;-1.7626808777161005;-122.33689592817862;-56.77068135231707;-33.723292983550124;-98.24620421027345;-1.134717334286718;-72.27338505599953;-188.1549869522955;-158.04872895662677;-65.17307235362283;56.97427488728296;5
alpha:0.1_l1_ratio:0.1_max_iter:10000;0.0009484124183654785;9.567596627358538e-05;0.0003749251365661621;4.0507076275625136e-05;0.1;0.1;10000;-73.52947319542932;-1.7626808777161005;-30.793396691850916;-68.99965972644848;-188.1549869522955;-1.134717334286718;-0.6977414084649245;-158.04872895662677;-72.27338505599953;-98.24620421027345;-105.12471791762209;-6.530411544554715;-99.44941471656304;-1.134717334286718;-98.24620421027345;-188.1549869522955;-132.43175299509454;-68.99965972644848;-2.973667397127098;-22.13218004364069;-46.850411737125555;-109.47171154167324;-58.87059149916894;-72.27338505599953;-56.77068135231707;-158.04872895662677;-0.6977414084649245;-3.911618900302617;-1.134717334286718;-22.13218004364069;-38.54983677193018;-35.38860502163824;-70.45109990770348;-1.134717334286718;-68.99965972644848;-158.04872895662677;-188.1549869522955;-56.77068135231707;-98.24620421027345;-0.6977414084649245;-46.755837029360634;-36.165066066629976;-83.78523386521927;-1.134717334286718;-158.04872895662677;-2.973667397127098;-98.24620421027345;-33.723292983550124;-0.6977414084649245;-188.1549869522955;-105.59626243997621;-58.87059149916894;-122.33689592817862;-188.1549869522955;-56.77068135231707;-68.99965972644848;-22.13218004364069;-2.973667397127098;-1.134717334286718;-3.911618900302617;-53.30718573296385;-97.11191128045091;-108.4988398336068;-22.13218004364069;-2.973667397127098;-3.911618900302617;-72.27338505599953;-0.6977414084649245;-158.04872895662677;-56.77068135231707;-35.38860502163824;-43.79487901400479;-97.14156421486715;-72.27338505599953;-56.77068135231707;-188.1549869522955;-0.6977414084649245;-98.24620421027345;-22.13218004364069;-3.911618900302617;-86.96764185853797;-13.200902391153539;-120.54819166795961;-3.911618900302617;-33.723292983550124;-68.99965972644848;-56.77068135231707;-72.27338505599953;-158.04872895662677;-0.6977414084649245;-29.486576777908375;-1.7626808777161005;-122.33689592817862;-56.77068135231707;-33.723292983550124;-98.24620421027345;-1.134717334286718;-72.27338505599953;-188.1549869522955;-158.04872895662677;-65.17307235362283;56.97427488728296;5
alpha:0.1_l1_ratio:0.1_max_iter:100000;0.001387186050415039;0.002232515160091719;0.0004008316993713379;0.0001186754686228082;0.1;0.1;100000;-73.52947319542932;-1.7626808777161005;-30.793396691850916;-68.99965972644848;-188.1549869522955;-1.134717334286718;-0.6977414084649245;-158.04872895662677;-72.27338505599953;-98.24620421027345;-105.12471791762209;-6.530411544554715;-99.44941471656304;-1.134717334286718;-98.24620421027345;-188.1549869522955;-132.43175299509454;-68.99965972644848;-2.973667397127098;-22.13218004364069;-46.850411737125555;-109.47171154167324;-58.87059149916894;-72.27338505599953;-56.77068135231707;-158.04872895662677;-0.6977414084649245;-3.911618900302617;-1.134717334286718;-22.13218004364069;-38.54983677193018;-35.38860502163824;-70.45109990770348;-1.134717334286718;-68.99965972644848;-158.04872895662677;-188.1549869522955;-56.77068135231707;-98.24620421027345;-0.6977414084649245;-46.755837029360634;-36.165066066629976;-83.78523386521927;-1.134717334286718;-158.04872895662677;-2.973667397127098;-98.24620421027345;-33.723292983550124;-0.6977414084649245;-188.1549869522955;-105.59626243997621;-58.87059149916894;-122.33689592817862;-188.1549869522955;-56.77068135231707;-68.99965972644848;-22.13218004364069;-2.973667397127098;-1.134717334286718;-3.911618900302617;-53.30718573296385;-97.11191128045091;-108.4988398336068;-22.13218004364069;-2.973667397127098;-3.911618900302617;-72.27338505599953;-0.6977414084649245;-158.04872895662677;-56.77068135231707;-35.38860502163824;-43.79487901400479;-97.14156421486715;-72.27338505599953;-56.77068135231707;-188.1549869522955;-0.6977414084649245;-98.24620421027345;-22.13218004364069;-3.911618900302617;-86.96764185853797;-13.200902391153539;-120.54819166795961;-3.911618900302617;-33.723292983550124;-68.99965972644848;-56.77068135231707;-72.27338505599953;-158.04872895662677;-0.6977414084649245;-29.486576777908375;-1.7626808777161005;-122.33689592817862;-56.77068135231707;-33.723292983550124;-98.24620421027345;-1.134717334286718;-72.27338505599953;-188.1549869522955;-158.04872895662677;-65.17307235362283;56.97427488728296;5
alpha:0.1_l1_ratio:0.1_max_iter:100;0.0011913323402404786;0.00015767182402234086;0.00038449764251708985;3.5313864247049535e-05;0.1;0.1;100;-73.5297078455203;-1.768834300037572;-30.779887207952406;-69.11314325566576;-188.10332588861385;-1.1358622097375382;-0.6800518123551066;-158.07870795787775;-72.27338505599953;-98.52901339784258;-105.12471791762209;-6.446707453077064;-99.44941471656304;-1.1358622097375382;-98.52901339784258;-188.10332588861385;-132.41840843264717;-69.11314325566576;-2.9528789359475187;-22.129774184311074;-46.843818372217605;-109.45496613459484;-59.28826390163183;-72.27338505599953;-56.78204508262049;-158.07870795787775;-0.6800518123551066;-3.917544751778253;-1.1358622097375382;-22.129774184311074;-38.54983677193018;-35.326112900810514;-70.45221578253597;-1.1358622097375382;-69.11314325566576;-158.07870795787775;-188.10332588861385;-56.78204508262049;-98.52901339784258;-0.6800518123551066;-46.755837029360634;-36.165066066629976;-83.74834682309262;-1.1358622097375382;-158.07870795787775;-2.9528789359475187;-98.52901339784258;-33.709520316634915;-0.6800518123551066;-188.10332588861385;-105.59626243997621;-59.28826390163183;-121.98798038564011;-188.10332588861385;-56.78204508262049;-69.11314325566576;-22.129774184311074;-2.9528789359475187;-1.1358622097375382;-3.917544751778253;-53.36552953646264;-97.31766354298837;-108.51155574080731;-22.129774184311074;-2.9528789359475187;-3.917544751778253;-72.27338505599953;-0.6800518123551066;-158.07870795787775;-56.78204508262049;-35.326112900810514;-43.83050002721776;-97.1527579181664;-72.27338505599953;-56.78204508262049;-188.10332588861385;-0.6800518123551066;-98.52901339784258;-22.129774184311074;-3.917544751778253;-87.0896452766471;-13.18925149608638;-120.48910667942155;-3.917544751778253;-33.709520316634915;-69.11314325566576;-56.78204508262049;-72.27338505599953;-158.07870795787775;-0.6800518123551066;-29.521435706871422;-1.768834300037572;-121.98798038564011;-56.78204508262049;-33.709520316634915;-98.52901339784258;-1.1358622097375382;-72.27338505599953;-188.10332588861385;-158.07870795787775;-65.19541750928585;56.97631489241146;8
alpha:0.1_l1_ratio:0.2_max_iter:100;0.0018680453300476073;0.0011148124991521883;0.0004994559288024902;0.00023380028676712536;0.1;0.2;100;-73.6029237479961;-1.7243666355043121;-32.24397529308618;-76.13620888977245;-185.0668040597403;-1.1632435326138237;-0.5186592149147512;-170.64017805594486;-76.68192252178424;-99.70974108120271;-108.02808346736524;-6.361013873843149;-104.28285992638789;-1.1632435326138237;-99.70974108120271;-185.0668040597403;-134.11184666658127;-76.13620888977245;-2.5257356026183944;-24.880588577411174;-49.790547772705864;-109.3887082812616;-59.37310225708162;-76.68192252178424;-58.278923090345955;-170.64017805594486;-0.5186592149147512;-3.617681118764813;-1.1632435326138237;-24.880588577411174;-40.689078465747485;-35.605251489161816;-70.62331690368798;-1.1632435326138237;-76.13620888977245;-170.64017805594486;-185.0668040597403;-58.278923090345955;-99.70974108120271;-0.5186592149147512;-48.63945856292355;-38.47633038751772;-84.70140220850013;-1.1632435326138237;-170.64017805594486;-2.5257356026183944;-99.70974108120271;-33.88216608526531;-0.5186592149147512;-185.0668040597403;-111.21493998005865;-59.37310225708162;-128.32806470316055;-185.0668040597403;-58.278923090345955;-76.13620888977245;-24.880588577411174;-2.5257356026183944;-1.1632435326138237;-3.617681118764813;-56.10370664862714;-97.87624306377674;-112.3978522553287;-24.880588577411174;-2.5257356026183944;-3.617681118764813;-76.68192252178424;-0.5186592149147512;-170.64017805594486;-58.278923090345955;-35.605251489161816;-49.4804728072895;-98.44532528116346;-76.68192252178424;-58.278923090345955;-185.0668040597403;-0.5186592149147512;-99.70974108120271;-24.880588577411174;-3.617681118764813;-88.07286278858011;-15.012492196520608;-120.70273386034359;-3.617681118764813;-33.88216608526531;-76.13620888977245;-58.278923090345955;-76.68192252178424;-170.64017805594486;-0.5186592149147512;-31.92287473471069;-1.7243666355043121;-128.32806470316055;-58.278923090345955;-33.88216608526531;-99.70974108120271;-1.1632435326138237;-76.68192252178424;-185.0668040597403;-170.64017805594486;-67.3517709023267;58.25687793306153;9
alpha:0.1_l1_ratio:0.2_max_iter:1000;0.0012504267692565918;0.0014969539194009019;0.000388333797454834;6.71073238162768e-05;0.1;0.2;1000;-73.60337588359327;-1.7315568713800094;-32.26722626144961;-76.12966486197129;-185.1901400661157;-1.1621797868387556;-0.5668770134042717;-170.6121655195869;-76.68192252178424;-99.35738091218235;-108.01592161505364;-6.552881368966589;-104.28578231790001;-1.1621797868387556;-99.35738091218235;-185.1901400661157;-134.1477439169246;-76.12966486197129;-2.572754841459026;-24.89634561727446;-50.03081982685478;-109.45130401168912;-59.49788106421488;-76.68192252178424;-58.27342363020819;-170.6121655195869;-0.5668770134042717;-3.611217649047442;-1.1621797868387556;-24.89634561727446;-40.689078465747485;-35.64766368560395;-70.63090671867242;-1.1621797868387556;-76.12966486197129;-170.6121655195869;-185.1901400661157;-58.27342363020819;-99.35738091218235;-0.5668770134042717;-48.65656668525532;-38.47633038751772;-84.75914874112262;-1.1621797868387556;-170.6121655195869;-2.572754841459026;-99.35738091218235;-33.88415342189824;-0.5668770134042717;-185.1901400661157;-111.21493998005865;-59.49788106421488;-128.94895206948456;-185.1901400661157;-58.27342363020819;-76.12966486197129;-24.89634561727446;-2.572754841459026;-1.1621797868387556;-3.611217649047442;-56.08736812808776;-97.66773406112415;-112.40279996411579;-24.89634561727446;-2.572754841459026;-3.611217649047442;-76.68192252178424;-0.5668770134042717;-170.6121655195869;-58.27342363020819;-35.64766368560395;-49.64667987613943;-98.46086257669805;-76.68192252178424;-58.27342363020819;-185.1901400661157;-0.5668770134042717;-99.35738091218235;-24.89634561727446;-3.611217649047442;-87.97320782631972;-15.029458668612683;-120.8642124858107;-3.611217649047442;-33.88415342189824;-76.12966486197129;-58.27342363020819;-76.68192252178424;-170.6121655195869;-0.5668770134042717;-31.86532705997744;-1.7315568713800094;-128.94895206948456;-58.27342363020819;-33.88415342189824;-99.35738091218235;-1.1621797868387556;-76.68192252178424;-185.1901400661157;-170.6121655195869;-67.3643072719893;58.26308951686087;10
alpha:0.1_l1_ratio:0.2_max_iter:10000;0.0010960721969604493;0.0007037130039084378;0.0004591798782348633;0.0008407625143646322;0.1;0.2;10000;-73.60337588359327;-1.7315568713800094;-32.26722626144961;-76.12966486197129;-185.1901400661157;-1.1621797868387556;-0.5668770134042717;-170.6121655195869;-76.68192252178424;-99.35738091218235;-108.01592161505364;-6.552881368966589;-104.28578231790001;-1.1621797868387556;-99.35738091218235;-185.1901400661157;-134.1477439169246;-76.12966486197129;-2.572754841459026;-24.89634561727446;-50.03081982685478;-109.45130401168912;-59.49788106421488;-76.68192252178424;-58.27342363020819;-170.6121655195869;-0.5668770134042717;-3.611217649047442;-1.1621797868387556;-24.89634561727446;-40.689078465747485;-35.64766368560395;-70.63090671867242;-1.1621797868387556;-76.12966486197129;-170.6121655195869;-185.1901400661157;-58.27342363020819;-99.35738091218235;-0.5668770134042717;-48.65656668525532;-38.47633038751772;-84.75914874112262;-1.1621797868387556;-170.6121655195869;-2.572754841459026;-99.35738091218235;-33.88415342189824;-0.5668770134042717;-185.1901400661157;-111.21493998005865;-59.49788106421488;-128.94895206948456;-185.1901400661157;-58.27342363020819;-76.12966486197129;-24.89634561727446;-2.572754841459026;-1.1621797868387556;-3.611217649047442;-56.08736812808776;-97.66773406112415;-112.40279996411579;-24.89634561727446;-2.572754841459026;-3.611217649047442;-76.68192252178424;-0.5668770134042717;-170.6121655195869;-58.27342363020819;-35.64766368560395;-49.64667987613943;-98.46086257669805;-76.68192252178424;-58.27342363020819;-185.1901400661157;-0.5668770134042717;-99.35738091218235;-24.89634561727446;-3.611217649047442;-87.97320782631972;-15.029458668612683;-120.8642124858107;-3.611217649047442;-33.88415342189824;-76.12966486197129;-58.27342363020819;-76.68192252178424;-170.6121655195869;-0.5668770134042717;-31.86532705997744;-1.7315568713800094;-128.94895206948456;-58.27342363020819;-33.88415342189824;-99.35738091218235;-1.1621797868387556;-76.68192252178424;-185.1901400661157;-170.6121655195869;-67.3643072719893;58.26308951686087;10
alpha:0.1_l1_ratio:0.2_max_iter:100000;0.0012084674835205079;0.0009882234114758795;0.0005697941780090332;0.000898813328222955;0.1;0.2;100000;-73.60337588359327;-1.7315568713800094;-32.26722626144961;-76.12966486197129;-185.1901400661157;-1.1621797868387556;-0.5668770134042717;-170.6121655195869;-76.68192252178424;-99.35738091218235;-108.01592161505364;-6.552881368966589;-104.28578231790001;-1.1621797868387556;-99.35738091218235;-185.1901400661157;-134.1477439169246;-76.12966486197129;-2.572754841459026;-24.89634561727446;-50.03081982685478;-109.45130401168912;-59.49788106421488;-76.68192252178424;-58.27342363020819;-170.6121655195869;-0.5668770134042717;-3.611217649047442;-1.1621797868387556;-24.89634561727446;-40.689078465747485;-35.64766368560395;-70.63090671867242;-1.1621797868387556;-76.12966486197129;-170.6121655195869;-185.1901400661157;-58.27342363020819;-99.35738091218235;-0.5668770134042717;-48.65656668525532;-38.47633038751772;-84.75914874112262;-1.1621797868387556;-170.6121655195869;-2.572754841459026;-99.35738091218235;-33.88415342189824;-0.5668770134042717;-185.1901400661157;-111.21493998005865;-59.49788106421488;-128.94895206948456;-185.1901400661157;-58.27342363020819;-76.12966486197129;-24.89634561727446;-2.572754841459026;-1.1621797868387556;-3.611217649047442;-56.08736812808776;-97.66773406112415;-112.40279996411579;-24.89634561727446;-2.572754841459026;-3.611217649047442;-76.68192252178424;-0.5668770134042717;-170.6121655195869;-58.27342363020819;-35.64766368560395;-49.64667987613943;-98.46086257669805;-76.68192252178424;-58.27342363020819;-185.1901400661157;-0.5668770134042717;-99.35738091218235;-24.89634561727446;-3.611217649047442;-87.97320782631972;-15.029458668612683;-120.8642124858107;-3.611217649047442;-33.88415342189824;-76.12966486197129;-58.27342363020819;-76.68192252178424;-170.6121655195869;-0.5668770134042717;-31.86532705997744;-1.7315568713800094;-128.94895206948456;-58.27342363020819;-33.88415342189824;-99.35738091218235;-1.1621797868387556;-76.68192252178424;-185.1901400661157;-170.6121655195869;-67.3643072719893;58.26308951686087;10
alpha:0.1_l1_ratio:0.3_max_iter:100;0.0023639082908630373;0.003354348594768542;0.0004987812042236328;0.0006042966965681405;0.1;0.3;100;-73.24269458033656;-1.7378476247690877;-33.67164571954779;-84.76551584178083;-182.46539340531498;-1.112781726157987;-0.39590940883655396;-184.96250941069428;-82.04115781891683;-101.09564003252187;-111.50380181717108;-6.374834786632418;-109.38929980880532;-1.112781726157987;-101.09564003252187;-182.46539340531498;-134.93555481352328;-84.76551584178083;-2.0448988727858657;-28.136467869521404;-54.21240228596063;-109.39988878899084;-59.08875020718341;-82.04115781891683;-60.049631491232184;-184.96250941069428;-0.39590940883655396;-3.444834308001051;-1.112781726157987;-28.136467869521404;-43.31440385348834;-36.15019740715601;-70.82633778150887;-1.112781726157987;-84.76551584178083;-184.96250941069428;-182.46539340531498;-60.049631491232184;-101.09564003252187;-0.39590940883655396;-51.14631414288655;-41.30135926401967;-85.78303184615405;-1.112781726157987;-184.96250941069428;-2.0448988727858657;-101.09564003252187;-34.30337057370495;-0.39590940883655396;-182.46539340531498;-115.57373103886712;-59.08875020718341;-134.89882354143668;-182.46539340531498;-60.049631491232184;-84.76551584178083;-28.136467869521404;-2.0448988727858657;-1.112781726157987;-3.444834308001051;-59.49382900402706;-98.26663052191175;-117.35862776964044;-28.136467869521404;-2.0448988727858657;-3.444834308001051;-82.04115781891683;-0.39590940883655396;-184.96250941069428;-60.049631491232184;-36.15019740715601;-56.67304879364485;-100.25028640508759;-82.04115781891683;-60.049631491232184;-182.46539340531498;-0.39590940883655396;-101.09564003252187;-28.136467869521404;-3.444834308001051;-89.23859196875368;-17.257340209749074;-120.86579510481496;-3.444834308001051;-34.30337057370495;-84.76551584178083;-60.049631491232184;-82.04115781891683;-184.96250941069428;-0.39590940883655396;-34.791513985877906;-1.7378476247690877;-134.89882354143668;-60.049631491232184;-34.30337057370495;-101.09564003252187;-1.112781726157987;-82.04115781891683;-182.46539340531498;-184.96250941069428;-69.93170364365548;60.01915011420052;13
